date_utc,rollup_id,rent_paid_eth,rent_paid_wei
2024-03-16,arbitrum,3.478895204,3478895204382426912
2024-03-16,base,0.264317345,264317345335454624
2024-03-16,optimism,0.11613244,116132440214334784
2024-03-17,arbitrum,2.725370937,2725370937407989429
2024-03-17,base,0.159162545,159162544780540248
2024-03-17,optimism,0.139828508,139828507555358336
2024-03-18,arbitrum,3.835158372,3835158371996009976
2024-03-18,base,0.204384424,204384424089277792
2024-03-18,optimism,0.186330835,186330835391779824
2024-03-19,arbitrum,4.818050152,4818050152229423047
2024-03-19,base,0.22867084,228670839755629168
2024-03-19,optimism,0.195448995,195448995044350088
2024-03-20,arbitrum,4.589825111,4589825110738329460
2024-03-20,base,0.269141022,269141021797660064
2024-03-20,optimism,0.175049085,175049085380989648
2024-03-21,arbitrum,3.662836861,3662836861144697414
2024-03-21,base,0.213011637,213011637138397552
2024-03-21,optimism,0.144387981,144387980930848408
2024-03-22,arbitrum,3.03483988,3034839879962398692
2024-03-22,base,0.172437516,172437516024682464
2024-03-22,optimism,0.109769707,109769707015149280
2024-03-23,arbitrum,2.236706182,2236706182162184847
2024-03-23,base,0.143174387,143174387437666384
2024-03-23,optimism,0.076173943,76173942552755304
2024-03-24,arbitrum,2.153064903,2153064903180478744
2024-03-24,base,0.138520058,138520058285303784
2024-03-24,optimism,0.07153882,71538819874906848
2024-03-25,arbitrum,3.133423165,3133423165201833567
2024-03-25,base,0.192031997,192031997490277232
2024-03-25,optimism,0.166485629,166485628877282664
2024-03-26,arbitrum,3.834915026,3834915026100213090
2024-03-26,base,0.232998863,232998862559080704
2024-03-26,optimism,0.221139082,221139081580643376
2024-03-27,arbitrum,7.83819662,7838196620021674624
2024-03-27,base,4.925900332,4925900332109856568
2024-03-27,optimism,4.267938972,4267938971688440352
2024-03-28,arbitrum,10.714806297,10714806296938000116
2024-03-28,base,10.823718395,10823718395045413848
2024-03-28,optimism,6.393414768,6393414767599193280
2024-03-29,arbitrum,8.11121513,8111215129995817762
2024-03-29,base,6.713921221,6713921220832099296
2024-03-29,optimism,4.914094176,4914094176484820448
2024-03-30,arbitrum,6.865506066,6865506065657327225
2024-03-30,base,7.738475695,7738475695252112040
2024-03-30,optimism,4.329469633,4329469633133606160
2024-03-31,arbitrum,13.006402314,13006402314230091119
2024-03-31,base,20.671244973,20671244972763946656
2024-03-31,optimism,12.384753317,12384753316722958704
2024-04-01,arbitrum,11.64053163,11640531629530624770
2024-04-01,base,19.136286471,19136286471159148776
2024-04-01,optimism,12.02388225,12023882249979656760
2024-04-02,arbitrum,18.179244059,18179244059316154212
2024-04-02,base,26.982912812,26982912812113018968
2024-04-02,optimism,14.92178507,14921785069929264384
2024-04-03,arbitrum,12.61257881,12612578810386837795
2024-04-03,base,17.574107643,17574107643457006416
2024-04-03,optimism,10.311055002,10311055002385216992
2024-04-04,arbitrum,2.638748541,2638748540579413465
2024-04-04,base,0.412462979,412462978727267784
2024-04-04,optimism,0.208498954,208498954389336840
2024-04-05,arbitrum,1.902646351,1902646351003458326
2024-04-05,base,0.324781563,324781562600991264
2024-04-05,optimism,0.124977624,124977623867072688
2024-04-06,arbitrum,1.179428141,1179428140738517323
2024-04-06,base,0.201800613,201800613361725048
2024-04-06,optimism,0.059798715,59798714698158216
2024-04-07,arbitrum,1.427037244,1427037244451991767
2024-04-07,base,0.249171379,249171378500861376
2024-04-07,optimism,0.067064552,67064552177400624
2024-04-08,arbitrum,2.244741789,2244741789217886812
2024-04-08,base,0.364508518,364508517982186488
2024-04-08,optimism,0.179344893,179344892928009624
2024-04-09,arbitrum,2.755240923,2755240922588549613
2024-04-09,base,0.447114022,447114021853885272
2024-04-09,optimism,0.203249497,203249497309857744
2024-04-10,arbitrum,1.942412781,1942412780620378627
2024-04-10,base,0.315693951,315693951020947584
2024-04-10,optimism,0.145038375,145038374976123696
2024-04-11,arbitrum,2.122772758,2122772757961701557
2024-04-11,base,0.316660531,316660531268130888
2024-04-11,optimism,0.152351025,152351024543575008
2024-04-12,arbitrum,3.883338928,3883338928191150900
2024-04-12,base,0.39540023,395400230058306408
2024-04-12,optimism,0.182143189,182143188618351240
2024-04-13,arbitrum,5.738700614,5738700613644126681
2024-04-13,base,0.580142353,580142353139990976
2024-04-13,optimism,0.242172238,242172237899552256
2024-04-14,arbitrum,1.687092054,1687092053706869750
2024-04-14,base,0.197000638,197000637876674184
2024-04-14,optimism,0.09338279,93382789923059352
2024-04-15,arbitrum,2.004397633,2004397633404942003
2024-04-15,base,0.250926745,250926745485418944
2024-04-15,optimism,0.116154055,116154055246093560
2024-04-16,arbitrum,1.589507024,1589507023621932310
2024-04-16,base,0.209116904,209116903711953432
2024-04-16,optimism,0.094825793,94825793111224584
2024-04-17,arbitrum,2.684586353,2684586353303741807
2024-04-17,base,0.300435435,300435435326715960
2024-04-17,optimism,0.144086531,144086531484463536
2024-04-18,arbitrum,1.618664113,1618664113377003267
2024-04-18,base,0.191874355,191874354862674888
2024-04-18,optimism,0.092846157,92846156694531192
2024-04-19,arbitrum,1.503687448,1503687447729876820
2024-04-19,base,0.172051788,172051788284328360
2024-04-19,optimism,0.062044786,62044786093574880
2024-04-20,arbitrum,0.918801383,918801383473545211
2024-04-20,base,0.122537133,122537133271691928
2024-04-20,optimism,0.038454243,38454242677589352
2024-04-21,arbitrum,0.925477355,925477354848855334
2024-04-21,base,0.126054799,126054799409937456
2024-04-21,optimism,0.036047515,36047515170931896
2024-04-22,arbitrum,1.360551822,1360551822452405671
2024-04-22,base,0.169797482,169797482461026936
2024-04-22,optimism,0.078714256,78714256406427576
2024-04-23,arbitrum,1.553945648,1553945647609357110
2024-04-23,base,0.19929343,199293430223552280
2024-04-23,optimism,0.097857138,97857138404031696
2024-04-24,arbitrum,1.939165921,1939165920767410745
2024-04-24,base,0.217087814,217087813540533864
2024-04-24,optimism,0.115519608,115519608161983200
2024-04-25,arbitrum,1.605645532,1605645532057360950
2024-04-25,base,0.184593566,184593565703609688
2024-04-25,optimism,0.097616383,97616382510277176
2024-04-26,arbitrum,0.992593507,992593506730365447
2024-04-26,base,0.130951428,130951428420433440
2024-04-26,optimism,0.062257223,62257222658378400
2024-04-27,arbitrum,0.776883637,776883636706187580
2024-04-27,base,0.106541773,106541773306257480
2024-04-27,optimism,0.052528609,52528609177408944
2024-04-28,arbitrum,0.850946588,850946588434693543
2024-04-28,base,0.115670801,115670800768998456
2024-04-28,optimism,0.059605231,59605231484089560
2024-04-29,arbitrum,1.126245746,1126245746465447903
2024-04-29,base,0.142782183,142782182603592408
2024-04-29,optimism,0.070809787,70809786798055920
2024-04-30,arbitrum,1.908919883,1908919882824009983
2024-04-30,base,0.211403829,211403829196689792
2024-04-30,optimism,0.110884186,110884186110249696
