date_utc,ecosystem_str,l2_fees_eth_sum,rent_paid_eth_sum,included_rollup_days,l1_blob_base_fee_wei,is_post_dencun,at_minimum_threshold_wei,is_at_minimum_5pct,at_minimum_run_id,at_minimum_run_length_days,is_floor_binding_regime_7d
2024-03-29,0.1314415702,1007.50000000,132.42738200,3,4000000000,1,2100000000,0,,0,0
2024-03-30,0.1311815882,1015.60000000,133.22802100,3,2000000000,1,2100000000,1,9,1,0
2024-03-31,0.1307036636,1013.20000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-01,0.1296670440,1021.30000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-02,0.1286467379,1029.40000000,132.42895200,3,2000000000,1,2100000000,1,10,1,0
2024-04-03,0.1276423634,1037.50000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-04,0.1266535501,1045.60000000,132.42895200,3,2000000000,1,2100000000,1,11,1,0
2024-04-05,0.1256799393,1053.70000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-06,0.1247211829,1061.80000000,132.42895200,3,2000000000,1,2100000000,1,12,1,0
2024-04-07,0.1237769436,1069.90000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-08,0.1228468942,1078.00000000,132.42895200,3,2000000000,1,2100000000,1,13,1,0
2024-04-09,0.1219307172,1086.10000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-10,0.1210281046,1094.20000000,132.42895200,3,2000000000,1,2100000000,1,14,1,0
2024-04-11,0.1201387571,1102.30000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-12,0.1192623847,1110.40000000,132.42895200,3,2000000000,1,2100000000,1,15,1,0
2024-04-13,0.1183987054,1118.50000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-14,0.1175474454,1126.60000000,132.42895200,3,2000000000,1,2100000000,1,16,1,0
2024-04-15,0.1167083388,1134.70000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-16,0.1158811271,1142.80000000,132.42895200,3,2000000000,1,2100000000,1,17,1,0
2024-04-17,0.1150655591,1150.90000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-18,0.1142613909,1159.00000000,132.42895200,3,2000000000,1,2100000000,1,18,1,0
2024-04-19,0.1134683849,1167.10000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-20,0.1126863104,1175.20000000,132.42895200,3,2000000000,1,2100000000,1,19,1,0
2024-04-21,0.1119149430,1183.30000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-22,0.1111540641,1191.40000000,132.42895200,3,2000000000,1,2100000000,1,20,1,0
2024-04-23,0.1104034614,1199.50000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-24,0.1096629281,1207.60000000,132.42895200,3,2000000000,1,2100000000,1,21,1,0
2024-04-25,0.1089322629,1215.70000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-26,0.1082112698,1223.80000000,132.42895200,3,2000000000,1,2100000000,1,22,1,0
2024-04-27,0.1074997581,1231.90000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-28,0.1067975419,1240.00000000,132.42895200,3,2000000000,1,2100000000,1,23,1,0
2024-04-29,0.1061044403,1248.10000000,132.42895200,3,4000000000,1,2100000000,0,,0,0
2024-04-30,0.1054202770,1256.20000000,132.42895200,3,2000000000,1,2100000000,1,24,1,0
