date_utc,issuance_eth,rent_base_fee_burn_eth_sum,rent_blob_fee_burn_eth_sum,rent_total_burn_eth_sum,issuance_minus_rent_burn_eth,rollup_days,base_burn_rollup_days,blob_burn_rollup_days
2024-04-13,1736.93750000,0.00000000,9.43718400,9.43718400,1727.50031600,3,0,3
2024-04-14,1739.25000000,0.00000000,4.71859200,4.71859200,1734.53140800,3,0,3
2024-04-15,1738.56250000,0.00000000,9.43718400,9.43718400,1729.12531600,3,0,3
2024-04-16,1739.50000000,0.00000000,4.71859200,4.71859200,1734.78140800,3,0,3
2024-04-17,1741.68750000,0.00000000,9.43718400,9.43718400,1732.25031600,3,0,3
2024-04-18,1739.50000000,0.00000000,4.71859200,4.71859200,1734.78140800,3,0,3
2024-04-19,1743.31250000,0.00000000,9.43718400,9.43718400,1733.87531600,3,0,3
2024-04-20,1740.00000000,0.00000000,4.71859200,4.71859200,1735.28140800,3,0,3
2024-04-21,1742.31250000,0.00000000,9.43718400,9.43718400,1732.87531600,3,0,3
2024-04-22,1741.62500000,0.00000000,4.71859200,4.71859200,1736.90640800,3,0,3
2024-04-23,1742.56250000,0.00000000,9.43718400,9.43718400,1733.12531600,3,0,3
2024-04-24,1744.75000000,0.00000000,4.71859200,4.71859200,1740.03140800,3,0,3
2024-04-25,1742.56250000,0.00000000,9.43718400,9.43718400,1733.12531600,3,0,3
2024-04-26,1746.37500000,0.00000000,4.71859200,4.71859200,1741.65640800,3,0,3
2024-04-27,1743.06250000,0.00000000,9.43718400,9.43718400,1733.62531600,3,0,3
2024-04-28,1745.37500000,0.00000000,4.71859200,4.71859200,1740.65640800,3,0,3
2024-04-29,1744.68750000,0.00000000,9.43718400,9.43718400,1735.25031600,3,0,3
2024-04-30,1745.62500000,0.00000000,4.71859200,4.71859200,1740.90640800,3,0,3
