# meta_json: {"assumptions": {"assumption_ids": ["A001"], "constants": {"BLOB_BASE_COST": 8192, "GAS_PER_BLOB": 131072, "WEI_PER_ETH": 1000000000000000000}, "dencun_date_utc": "2024-03-13", "description": "Applied-floor counterfactual (no equilibrium simulation).", "formulas": {"base_fee_per_blob_gas_cf_wei": "max(base_fee_per_blob_gas_wei, reserve_blob_base_fee_wei)", "reserve_blob_base_fee_wei": "floor(BLOB_BASE_COST * base_fee_per_gas_wei / GAS_PER_BLOB)"}}, "created_at_utc": "2026-02-05T17:25:25.598391+00:00", "git_sha": "89a08fb0ee6f3f91d040705f2ae43f3c47ee768c", "inputs": {"panel_bytes": 27148, "panel_manifest_path": null, "panel_manifest_sha256": null, "panel_path": "data/samples/panels/daily_rollup_panel_v2_sample.csv", "panel_sha256": "6cec5c25cf5207aaa9b914dcb56fdad175a028fa2cb6f2553b8b550a4a5d0d04"}, "schema_version": 1, "script_path": "src/analysis/counterfactual_eip7918.py", "tag": "sample"}

date_utc,l2_fees_eth_sum,rent_paid_eth_sum,rent_paid_cf_eth_sum,delta_rent_blob_burn_eth_sum,str_observed,str_counterfactual,str_delta,included_rollup_days,l1_base_fee_per_gas_wei,l1_blob_base_fee_wei,reserve_blob_base_fee_wei,cf_blob_base_fee_wei,floor_binding
2024-03-28,999.40000000,130.73449500,133.09379100,2.35929600,0.1308129828,0.1331736952,0.0023607124,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-29,1007.50000000,132.42738200,132.42738200,0.00000000,0.1314415702,0.1314415702,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-03-30,1015.60000000,133.22802100,135.58731700,2.35929600,0.1311815882,0.1335046445,0.0023230563,3,48000000000,2000000000,3000000000,3000000000,true
2024-03-31,1013.20000000,132.42895200,132.42895200,0.00000000,0.1307036636,0.1307036636,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-01,1021.30000000,132.42895200,132.42895200,0.00000000,0.1296670440,0.1296670440,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-02,1029.40000000,132.42895200,134.78824800,2.35929600,0.1286467379,0.1309386516,0.0022919137,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-03,1037.50000000,132.42895200,132.42895200,0.00000000,0.1276423634,0.1276423634,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-04,1045.60000000,132.42895200,134.78824800,2.35929600,0.1266535501,0.1289099541,0.0022564040,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-05,1053.70000000,132.42895200,132.42895200,0.00000000,0.1256799393,0.1256799393,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-06,1061.80000000,132.42895200,134.78824800,2.35929600,0.1247211829,0.1269431607,0.0022219778,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-07,1069.90000000,132.42895200,132.42895200,0.00000000,0.1237769436,0.1237769436,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-08,1078.00000000,132.42895200,134.78824800,2.35929600,0.1228468942,0.1250354805,0.0021885863,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-09,1086.10000000,132.42895200,132.42895200,0.00000000,0.1219307172,0.1219307172,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-10,1094.20000000,132.42895200,134.78824800,2.35929600,0.1210281046,0.1231842881,0.0021561835,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-11,1102.30000000,132.42895200,132.42895200,0.00000000,0.1201387571,0.1201387571,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-12,1110.40000000,132.42895200,134.78824800,2.35929600,0.1192623847,0.1213871110,0.0021247262,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-13,1118.50000000,132.42895200,132.42895200,0.00000000,0.1183987054,0.1183987054,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-14,1126.60000000,132.42895200,134.78824800,2.35929600,0.1175474454,0.1196416190,0.0020941736,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-15,1134.70000000,132.42895200,132.42895200,0.00000000,0.1167083388,0.1167083388,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-16,1142.80000000,132.42895200,134.78824800,2.35929600,0.1158811271,0.1179456143,0.0020644872,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-17,1150.90000000,132.42895200,132.42895200,0.00000000,0.1150655591,0.1150655591,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-18,1159.00000000,132.42895200,134.78824800,2.35929600,0.1142613909,0.1162970216,0.0020356307,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-19,1167.10000000,132.42895200,132.42895200,0.00000000,0.1134683849,0.1134683849,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-20,1175.20000000,132.42895200,134.78824800,2.35929600,0.1126863104,0.1146938802,0.0020075698,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-21,1183.30000000,132.42895200,132.42895200,0.00000000,0.1119149430,0.1119149430,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-22,1191.40000000,132.42895200,134.78824800,2.35929600,0.1111540641,0.1131343361,0.0019802719,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-23,1199.50000000,132.42895200,132.42895200,0.00000000,0.1104034614,0.1104034614,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-24,1207.60000000,132.42895200,134.78824800,2.35929600,0.1096629281,0.1116166346,0.0019537065,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-25,1215.70000000,132.42895200,132.42895200,0.00000000,0.1089322629,0.1089322629,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-26,1223.80000000,132.42895200,134.78824800,2.35929600,0.1082112698,0.1101391142,0.0019278444,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-27,1231.90000000,132.42895200,132.42895200,0.00000000,0.1074997581,0.1074997581,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-28,1240.00000000,132.42895200,134.78824800,2.35929600,0.1067975419,0.1087002000,0.0019026581,3,48000000000,2000000000,3000000000,3000000000,true
2024-04-29,1248.10000000,132.42895200,132.42895200,0.00000000,0.1061044403,0.1061044403,0.0000000000,3,48000000000,4000000000,3000000000,4000000000,false
2024-04-30,1256.20000000,132.42895200,134.78824800,2.35929600,0.1054202770,0.1072983983,0.0018781213,3,48000000000,2000000000,3000000000,3000000000,true
