date_utc,is_post_dencun,included_rollup_days,l2_fees_eth_sum,rent_paid_eth_sum,rent_base_fee_burn_eth_sum,rent_blob_fee_burn_eth_sum,rent_priority_fee_eth_sum,rent_unattributed_eth_sum,rent_execution_eth_sum,rent_burn_eth_sum,ecosystem_str,share_base_burn_of_rent,share_blob_burn_of_rent,share_execution_of_rent,share_burn_of_rent,share_priority_fee_of_rent,share_unattributed_of_rent
2024-03-03,false,3,925.00000000,251.00415000,0.00000000,0.00000000,0.00000000,251.00415000,251.00415000,0.00000000,0.2713558378,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-04,false,3,933.10000000,254.45688600,0.00000000,0.00000000,0.00000000,254.45688600,254.45688600,0.00000000,0.2727005530,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-05,false,3,922.30000000,251.01567600,0.00000000,0.00000000,0.00000000,251.01567600,251.01567600,0.00000000,0.2721627193,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-06,false,3,919.90000000,249.44232600,0.00000000,0.00000000,0.00000000,249.44232600,249.44232600,0.00000000,0.2711624372,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-07,false,3,928.00000000,252.30518400,0.00000000,0.00000000,0.00000000,252.30518400,252.30518400,0.00000000,0.2718805862,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-08,false,3,936.10000000,253.96390500,0.00000000,0.00000000,0.00000000,253.96390500,253.96390500,0.00000000,0.2712999733,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-09,false,3,944.20000000,257.43344400,0.00000000,0.00000000,0.00000000,257.43344400,257.43344400,0.00000000,0.2726471553,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-10,false,3,952.30000000,259.09413600,0.00000000,0.00000000,0.00000000,259.09413600,259.09413600,0.00000000,0.2720719689,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-11,false,3,949.90000000,257.50656600,0.00000000,0.00000000,0.00000000,257.50656600,257.50656600,0.00000000,0.2710880787,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-12,false,3,939.10000000,255.27284100,0.00000000,0.00000000,0.00000000,255.27284100,255.27284100,0.00000000,0.2718271121,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
2024-03-13,true,3,947.20000000,124.02231000,0.00000000,9.43718400,0.00000000,114.58512600,114.58512600,9.43718400,0.1309357158,0.0000000000,0.0760926320,0.9239073680,0.0760926320,0.0000000000,0.9239073680
2024-03-14,true,3,955.30000000,125.68368800,0.00000000,4.71859200,0.00000000,120.96509600,120.96509600,4.71859200,0.1315646268,0.0000000000,0.0375433923,0.9624566077,0.0375433923,0.0000000000,0.9624566077
2024-03-15,true,3,963.40000000,126.49565800,0.00000000,9.43718400,0.00000000,117.05847400,117.05847400,9.43718400,0.1313012850,0.0000000000,0.0746048058,0.9253951942,0.0746048058,0.0000000000,0.9253951942
2024-03-16,true,3,961.00000000,125.71071000,0.00000000,4.71859200,0.00000000,120.99211800,120.99211800,4.71859200,0.1308123933,0.0000000000,0.0375353222,0.9624646778,0.0375353222,0.0000000000,0.9624646778
2024-03-17,true,3,969.10000000,127.08872900,0.00000000,9.43718400,0.00000000,117.65154500,117.65154500,9.43718400,0.1311409855,0.0000000000,0.0742566558,0.9257433442,0.0742566558,0.0000000000,0.9257433442
2024-03-18,true,3,977.20000000,127.89518500,0.00000000,4.71859200,0.00000000,123.17659300,123.17659300,4.71859200,0.1308792315,0.0000000000,0.0368942115,0.9631057885,0.0368942115,0.0000000000,0.9631057885
2024-03-19,true,3,966.40000000,127.11120000,0.00000000,9.43718400,0.00000000,117.67401600,117.67401600,9.43718400,0.1315306291,0.0000000000,0.0742435285,0.9257564715,0.0742435285,0.0000000000,0.9257564715
2024-03-20,true,3,974.50000000,127.91958200,0.00000000,4.71859200,0.00000000,123.20099000,123.20099000,4.71859200,0.1312668876,0.0000000000,0.0368871749,0.9631128251,0.0368871749,0.0000000000,0.9631128251
2024-03-21,true,3,972.10000000,127.13137600,0.00000000,9.43718400,0.00000000,117.69419200,117.69419200,9.43718400,0.1307801420,0.0000000000,0.0742317459,0.9257682541,0.0742317459,0.0000000000,0.9257682541
2024-03-22,true,3,980.20000000,128.51197200,0.00000000,4.71859200,0.00000000,123.79338000,123.79338000,4.71859200,0.1311079086,0.0000000000,0.0367171395,0.9632828605,0.0367171395,0.0000000000,0.9632828605
2024-03-23,true,3,988.30000000,129.31484000,0.00000000,9.43718400,0.00000000,119.87765600,119.87765600,9.43718400,0.1308457351,0.0000000000,0.0729783527,0.9270216473,0.0729783527,0.0000000000,0.9270216473
2024-03-24,true,3,996.40000000,130.99987000,0.00000000,4.71859200,0.00000000,126.28127800,126.28127800,4.71859200,0.1314731734,0.0000000000,0.0360198220,0.9639801780,0.0360198220,0.0000000000,0.9639801780
2024-03-25,true,3,1004.50000000,131.80409700,0.00000000,9.43718400,0.00000000,122.36691300,122.36691300,9.43718400,0.1312136356,0.0000000000,0.0716000808,0.9283999192,0.0716000808,0.0000000000,0.9283999192
2024-03-26,true,3,983.20000000,128.55204200,0.00000000,4.71859200,0.00000000,123.83345000,123.83345000,4.71859200,0.1307486188,0.0000000000,0.0367056946,0.9632943054,0.0367056946,0.0000000000,0.9632943054
2024-03-27,true,3,991.30000000,129.93521500,0.00000000,9.43718400,0.00000000,120.49803100,120.49803100,9.43718400,0.1310755725,0.0000000000,0.0726299179,0.9273700821,0.0726299179,0.0000000000,0.9273700821
2024-03-28,true,3,999.40000000,130.73449500,0.00000000,4.71859200,0.00000000,126.01590300,126.01590300,4.71859200,0.1308129828,0.0000000000,0.0360929378,0.9639070622,0.0360929378,0.0000000000,0.9639070622
2024-03-29,true,3,1007.50000000,132.42738200,0.00000000,9.43718400,0.00000000,122.99019800,122.99019800,9.43718400,0.1314415702,0.0000000000,0.0712630867,0.9287369133,0.0712630867,0.0000000000,0.9287369133
2024-03-30,true,3,1015.60000000,133.22802100,0.00000000,4.71859200,0.00000000,128.50942900,128.50942900,4.71859200,0.1311815882,0.0000000000,0.0354174142,0.9645825858,0.0354174142,0.0000000000,0.9645825858
2024-03-31,true,3,1013.20000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1307036636,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-01,true,3,1021.30000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1296670440,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-02,true,3,1029.40000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1286467379,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-03,true,3,1037.50000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1276423634,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-04,true,3,1045.60000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1266535501,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-05,true,3,1053.70000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1256799393,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-06,true,3,1061.80000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1247211829,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-07,true,3,1069.90000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1237769436,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-08,true,3,1078.00000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1228468942,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-09,true,3,1086.10000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1219307172,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-10,true,3,1094.20000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1210281046,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-11,true,3,1102.30000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1201387571,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-12,true,3,1110.40000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1192623847,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-13,true,3,1118.50000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1183987054,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-14,true,3,1126.60000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1175474454,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-15,true,3,1134.70000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1167083388,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-16,true,3,1142.80000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1158811271,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-17,true,3,1150.90000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1150655591,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-18,true,3,1159.00000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1142613909,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-19,true,3,1167.10000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1134683849,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-20,true,3,1175.20000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1126863104,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-21,true,3,1183.30000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1119149430,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-22,true,3,1191.40000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1111540641,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-23,true,3,1199.50000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1104034614,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-24,true,3,1207.60000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1096629281,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-25,true,3,1215.70000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1089322629,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-26,true,3,1223.80000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1082112698,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-27,true,3,1231.90000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1074997581,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-28,true,3,1240.00000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1067975419,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
2024-04-29,true,3,1248.10000000,132.42895200,0.00000000,9.43718400,0.00000000,122.99176800,122.99176800,9.43718400,0.1061044403,0.0000000000,0.0712622418,0.9287377582,0.0712622418,0.0000000000,0.9287377582
2024-04-30,true,3,1256.20000000,132.42895200,0.00000000,4.71859200,0.00000000,127.71036000,127.71036000,4.71859200,0.1054202770,0.0000000000,0.0356311209,0.9643688791,0.0356311209,0.0000000000,0.9643688791
